name,review,date,rating
Eswar Chowdary,No 1 fraud company. Please don't trust this company or install their app. I am paying my Emi's on time but they have deducted incorrect charges automatically. There is no customer care center to contact. I have sent mail to support team …,2 months ago, 1 star 
Siva Shetty,Cred is torturing the people. I have made 50k payment. Transaction was successful but crediting card was pending. Everyday asking 1 more day. It's been 5 days. Raised tickets but they have closed tickets without replying. Atleast please give back my 50k amount. Don't torture customers taking their money.,4 months ago, 1 star 
pavan gopi,"Very pathetic, I have paid credit card bill of 50k using cred, the payment is not credited to the card and no refund even after 5 days. There's is still no progress on resolving the issue. Poor customer care and pathetic service and seems to be definitely the wrong way to pay your credit card bills.",a month ago, 1 star 
shibu ks,"Had paid my credit card bill through on CRED app on 5th Jan 20, till now it's not credited with my bank partners. And now the app is not working asking to confirm my phone screen pattern. Request to help in this issue. Looking forward to hearing from your team.",4 months ago, 1 star 
findsjj,"Dear viewers and users, be aware, CRED will have access to your Gmail. Understand the risk before using it.",a month ago, 1 star 
neeta bajaj,My Citibank bank card ending with 2665 payment of ₹4010/- has been debited twice today from my bank. Please look into it and arrange refund of one amount. Thanks,3 months ago, 1 star 
Eshwar Shyam,Amazing services and rewards. Never faced an issue. I know that this is location review and has nothing to do with the app. But I see many ppl sharing that here. Looking forward for many such long lasting good experiences and services.,4 months ago, 5 stars 
Ramprakash Mane,Fraud service. I applied loan of 130000Rs. But till i not get money in my bank account and they are starting emi on that amount. Whats going on. Reply and give revert. Bad service. There is no responce from your end. If my money deducted then i will complaint.kindly revert.,2 months ago, 1 star 
Samiran Roy,"The only solution in India that lets you manage multiple credit cards in India seamlessly, and get rewarded for good financial habits. Comes with a host of incredible solutions that help you manage your finances.",4 months ago, 5 stars 
sreenivas aiLAM,Really wrost service to the customers even don't have voice Customer support simply prestored messgaes will reply why I'm telling all these means I'm suffering since last 4 days I made my credit card bill through CRED app after 4days also …,2 months ago, 1 star 
Rukufoods 2016,"Hi, i have paid my  sbi credit card bill  nearly 9326 but in sbi card statement not updated . i have send mail to support team also no reply",a week ago, 1 star 
Varun Mohata,Paying my credit card bills couldn't have got easier. This is the only platform which helps me manage all my cards in one place. I can easily find out hidden charges and a detailed analysis of my spends across cards. I also have a pre-approved credit line which is super cool.,7 months ago, 5 stars 
Srinivasan M,I have been using Cred.Club for over an year now and have found their credit card payment services to be very useful. Off late I have tried their stores which is where I found out some grave issues. I bought a product Goovi vaccum cleaner …,a month ago, 3 stars 
Sagar Godbole,Love the app and the company! Paying multiple credit bills at the same time is really a breeze with this. No need to keep logging in to multiple websites. The CRED coins (and all the discounts I get with them) are an added bonus. Love the Bappi Da advert too!,4 months ago, 5 stars 
Dheeraj Razdan,Your cred customer care support has a fixed set of options and I have written the issue which needs resolving urgently. I have been debited twice and your customer support just does not have any option for this kind of issue.,4 months ago, 1 star 
Pratik Dogra,"I quite like the CRED app for its interface, first and foremost. I also like the non intrusive notifications , and the payment reminders that I get from CRED. Something that a lot of people may not know is that CRED can also help you …",7 months ago, 5 stars 
NIKHIL REDDY,I HAD BEEN USING CRED AND SUCCESSFULLY PAID RENT ON CRED BUT YOU ARE SAYING THAT YHE TRANSACTION IS UNSUCCESSFUL BUT AMOUNT GOT DEBITED IN MY ACCOUNT PLEASE HELP ME,a month ago, 1 star 
Shyamapada Gorai,"I done of my Credit Card payment of 7th January, still it shows processing,,,,i don't know when my payment will show successful ..& there so no customer support services for this also .... really this is a very bad customer service....",4 months ago, 1 star 
Pratheep Raju,An awesome place for anyone who loves to work. Credit cares for their employees and the workspace though a little small is very well maintained. I went for an interview their and they served really good food and covered all my reimbursements too that day itself.,7 months ago, 5 stars 
pramod malavade,I have made my credit payment on 3rd of May and still payment status showing as processing. No response received from support team as well.,a week ago, 1 star 
Atish Munje,"Best app for managing your credit cards. The UI is really sleek and ease of payment flow is amazing. Love the high quality rewards on the app.
Thanks CRED team for making our life easier.",7 months ago, 5 stars 
Shivrajnagesh Iyer,Since last 20 days I following for my failed transaction but the issue not solved yet.  We cannot contact customer care as they do not have any customer care number.  They communicate through app(mail) but that too we can comment only twice after that we have to wait for their reply and then only we can post our comments.,5 months ago, 1 star 
Pawan Verma,"I want to amend my words written earlier as given below and appreciate Support Team CRED for there fastest response. They have done good job. They have made all refunds which paid twice. Thanks.

I have taken three loans of Rs. 8400/-, …",4 months ago, 5 stars 
Rohan Tiwarri,Extremely pathetic customer service - false advertising - dont ever book a vacation package with them especially through Flynote - i made the payment 3 weeks ago and have been following up since then but havnt received the confirmation from …,4 months ago, 1 star 
nikkith reddy,Worst experience with this app with so many days I have stuck in my 1 lakh,3 days ago, 1 star 
SANJAY MALHOTRA,"Best app for managing credit cards. The new unbilled feature is just 🤯. Another great thing, get rewarded for just paying bills. Thanks team CRED for this awesome product.",7 months ago, 5 stars 
Bharath Balagodu,"I am using this app, good for easy payments. but I paid some xxx amount it was reflecting and I made 2 payment this was not reflecting in Bank statement. No much scope to use the cred points at all.",7 months ago, 3 stars 
Abhishek Patil,Been using the app for a while now. It helps me manager my three credit cards at one place which is a great feature. Rewards are cherry on the top. Highly recommended.,7 months ago, 5 stars 
Srijan Kumar,"CRED is the epitome of fraudulent companies having to compensate for their useless product  by sponsoring IPL, Formula 1 and interrupting the bloody races several times with Bappi Lahiri and other irrelevant celebrities sing and dance to …",4 months ago, 1 star 
Roulla Agarwal,Coolest UI EVERRRRR! Credit cards have never been this interesting & Fun to Explore! Love the Rewards section - Uber Cool & Fasinating.,7 months ago, 5 stars 
rohan dhillon,Something's are better experienced than talked about...,3 months ago, 5 stars 
Aniketh Pingale,Undoubtedly the best user experience any app has had till date. Rewards are lucrative and something I go back to almost every day to scroll through.,7 months ago, 5 stars 
Rahul Praful,What a brilliant app! The CS team is so proactive in solving the user's issues. Brilliant design too.,7 months ago, 5 stars 
Kunal Kapoor,Great app.. Support team is very responsive. They proved me wrong when I doubted on their responsiveness. I understand there can be delay in response but what matters is accountability. This team has proven on that ground. When I got the …,a year ago, 5 stars 
Abhishek shankara narayana,"My payment to credit card today was unsuccessful, but the money has been deducted and awaiting for the reversal to my bank account. Please do it ASAP as I need to pay my credit bills immediately.",3 months ago, 1 star 
Vasanth Yaji,"What is the customer care number? It is nowhere displayed.  Also, how to reach on priority.",4 months ago, 3 stars 
Hari Reddy,"Fake app ..., amount was debited & I received received bill copy & amount not credited to credit card....,cred  customer service not available... stupid app, fraud app  20 days completed , money not received, & I am giving to complaint to consumer court..........& I have evidence also.......",5 months ago, 1 star 
Petse Sparkson,"I am using this app, good for easy payments. but for few cards it takes 3 days to reflect. No much scope to use the cred points at all.",8 months ago, 3 stars 
mallikarjuna rao,Please don't use the cred App.  All your money will take by saying credit card bill,2 months ago, 1 star 
Akarsh R,CRED has lost it's credibility. They have completely changed on how CRED coins work and they have now transformed into selling overpriced brands and promoting new start up brands. Old CRED was good!,8 months ago, 2 stars 
Srinivas Mruthyunjayan,While doing payment debited 2 times. I am trying to contact cred but there is no option,3 months ago, 1 star 
Chandra Kiran,"Promos in the app offer rewards and at the time of payments they show actual amount to be deducted.
But they steal extra amount during final step of payments without prior information/ intimation.

This is a loss making app for me, my …",5 months ago, 1 star 
Hardeep Singh,Great product. Always excited to see what new things they will have available for give away to users. Never disappointed!,7 months ago, 5 stars 
Gauri Agrawal,"Great app with great interface. Offers were amazing earlier, not that great. Hoping to get better offers.",7 months ago, 5 stars 
suhas kashyap,Amazing app for the credit card bill payment. It helps in managing the multiple credit card easily and it rewards you for the timely payment.,7 months ago, 5 stars 
gajendrashetty s,Not happy with your service not responding customer care support team also  10 days back 10000 payment don't by  CRED  Through Rbl Bank but you not done sending amount Rbl Bank so I sent to mail also your customer care support team nobody …,3 months ago, 1 star 
Harish Kumar,"do not go this app , there is no proper service",2 weeks ago, 1 star 
Ashad Mohammed,This app makes it so much easier to handle your various credit card bills and has added features to ensure that you're on top of your payments. 10/10 would recommend,7 months ago, 5 stars 
Janaki Ram,"My amount stuck 2 week's back ,but my refund not clear still date.",3 weeks ago, 1 star 
Sanjay Kaul,"I had opted for transfer of my rent and transferred 19000 , however the landlord has still not received the rent .
I have been sending repeated mails but except a mail asking for statemet ,which I forwarded ,there has been no response.
I am finding myself helpless and harassed .",4 months ago, 1 star 
Nagarjun Doraiswamy,The app made my life easy having multiple cards and switching between bank sites to pay bills. Cashback is a bonus given I was never rewarded before for paying my credit card bills.,7 months ago, 5 stars 
Naval Rajput,Very bed App Dont install this app fraud fraud fraud fraud fraud fraud fraud fraud fraud fraud.... i suggest everyone dont install this app...,4 months ago, 1 star 
Mahesh Reddy,"20000 rupees not credited to my credit card.... 5 days completed.... waste service ,only chatting , customer care number is not there",5 months ago, 1 star 
Megha Agarwal,Best credit card bill payment app! Great way to manage all your expenses and finances in one place.,7 months ago, 5 stars 
Lalit Nankani,"Best app to manage credit cards.
Fastest & easiest way to pay the bill. :D",7 months ago, 5 stars 
Kunal Kishore,"Pros:
- Lightning quick payment
- collated offers on all your credit cards
- deep scan and cc statement categorisation
- great design and app experience

Cons:
- Need more relatable reward offers",7 months ago, 5 stars 
Shankar Anand,Amazing app. Helped me manage my credit card bills better and get to enjoy discounts for paying my bills.,7 months ago, 5 stars 
Sneha kannan,Kudos to team for all the effort to tailor the product at its best and still continuing the concept of doing the best in terms of services.. A product needs a best customer service and we are at the right path..,7 months ago, 5 stars 
Reviews Bin,"Won Rs. 3,200/- cashback from CRED till now.
For paying credit card bills.
Also several other goods
I have submitted all my credit cards in this app.
Install the app now and get benefitted from it.",5 months ago, 4 stars 
Krishna G,"Safer & faster credit card bill payments ever.

Amazing UI, Kudos to the team of CRED for giving this beautiful app.It reminds me about card payment due date well in advance and also helped me a lot in avoiding the late payment fees.",7 months ago, 5 stars 
Ashok Chandran,I pay my credit card bills on time (and enjoy it too) thanks to CRED - definitely worth the effort of moving from auto pay setup on bank to paying on CRED.,7 months ago, 5 stars 
Rahul Harkisanka,fast payment for credit card. CRED Protect sends me payment reminders and shows me where I spent my money.,7 months ago, 5 stars 
AKSHIT BORDIA,One of the best apps I have ever come across. Beautiful UI and amazing rewards.,7 months ago, 5 stars 
Anwar Creations,"1 st time cash back 96 rs

After all transactions given cash back to 6rs, 9rs,....very less..",a month ago, 4 stars 
Ishaan Sethi,a really convenient way for me to get a holistic overview of my spends & quick resolutions to any challenges faced by the customer team.,7 months ago, 5 stars 
Rajiva Agrawal,Great way to check credit score. I am currently waitlisted but then I got to know why my credit score is less. Hope to get in soon.,7 months ago, 5 stars 
vipul kavadia,Amazing app. Helped me manage my multiple credit card with best UI and great rewards,7 months ago, 5 stars 
Albin Jose,I have used CRED upi and amount debited twice. Could not call or chat with the support as there is no option to call them. Uninstalling the app.,6 months ago, 1 star 
Shankarshan Tewari,Wonderful app. Made my bill payments a lot easier and rewarding. Thank you to the team!,8 months ago, 5 stars 
whytoborn me,"Their processing time is slow, thinking that they are making use of our money gaining the profit and paying the emi very late and finally we have to face the consequences.",6 months ago, 1 star 
Bhavi Daftery Jagwani,"Great app, extremely handy for bill payment reminders and paying your bills. Delightful UX !",7 months ago, 5 stars 
Aman Kasliwal,Love the experience of thr app. Takes care of the hassles of credit card bill payment every month. Rewards on every payment is just Wow.,7 months ago, 5 stars 
Nipun Agarwal,One of the best companies to work with. Friendly folks with lot of engaging and fun work.,7 months ago, 5 stars 
Vivek Kundariya,One pit-stop for all credit management related things with awesome UI & community,7 months ago, 5 stars 
rama chandra,"Payment not reflected in my account, its been months I am talking to them no responce. Amount was not refunded",3 months ago, 1 star 
Sanskriti Prahladka,Cred has the best UI among all the apps. Each day they add some surprise.,7 months ago, 5 stars 
jenkins jmeter,seamless experience everytime I pay my credit card bills and its getting better every month,7 months ago, 5 stars 
Madhuri Shinde,This app is really awesome it allows me to manage all my credit cards at one place🙂,7 months ago, 5 stars 
Amit Gour,"Today I was trying to make payment of my credit card.
Amount was deducted twice.
Please resolve the issue.",3 months ago, 1 star 
Dhana Shekar,"I am yet to receive your response on my reply to your mail.

Regards

Dhanashekar

I am from Bangalore, I have been using this app to pay my credit card payments. In the month of April 2020 I had transferred payment to my ICICI credit card …",10 months ago, 1 star 
Narayan K,I did a shopping on 16th July .. no updates .. no shipping Infomation . I had to spend 15 minutes to search my order info on your app . Make it easy pl . Also update on my order or refund .,8 months ago, 3 stars 
Shivi Jain,After deleting the app they do not delete the data. I think it is the most unnecessary app,3 months ago, 1 star 
Ishan Joglekar,"Amazing user interface, makes it so easy to manage multiple credit cards. Haven't missed a single payment by even 1 day since joining.",7 months ago, 5 stars 
Sai Priya Mahajan,great rewards for paying credit card bills. highly recommended.,7 months ago, 5 stars 
Vasanth Sastry,Excellent App. Very useful to pay multiple credit cards thru one place.,7 months ago, 5 stars 
Basavaraj Parashetti,"I have made payment of rs 3638 through the cred application but it's still in processing ,and I have got deducted from account (nach)
No response from the support team...
And even we can't communicate with them",5 months ago, 1 star 
prashant mudgal,super conveneint for people having multiple credit cards with amazing UI,7 months ago, 5 stars 
Rishi Rish,Great app. Support is awesome.!,4 months ago, 5 stars 
Niranjana Ravi,"Best app to manage your credit card and especially if you have multiple cards, helps you be organised and helps prevent late payments etc.",7 months ago, 5 stars 
shashwat shivam Jha,It rewards me for managing my finance well and also helps me do it.,7 months ago, 5 stars 
Manas Mallik,"Coolest app to manage you credit cards, it reminds you when the date is nearing, one of best User experience",7 months ago, 5 stars 
Akashlal Bathe,"Great app. Has good offers sometimes.
Reduced a star because one of the offers stopped working. Talked with support bot, asked what I needed as a resolution - Get my coins back, or get the issue resolved. I chose get my coins back, but …",a year ago, 4 stars 
Lekshmi Thampy,Have been a regular user of CRED for the last one year. Experience so far has been super convenient.,7 months ago, 5 stars 
Deepanshu Rai,Awesome app and lifestyle section is next level. Loved it,7 months ago, 5 stars 
avik ghosh,Awesome app. Great UI.keep up the good work.,7 months ago, 5 stars 
vishal p,"I transferred rent to my landlord by using credit card.. but he didn't get the amount. 31k has been sent to him.. date may 21st still he didn't get the amount.

I need your customer care number",11 months ago, 1 star 
Shubham Rai,"I bought set of 3 plants from cred via ferns and petals. Product was bad and plants dried within a week after taking so much of care. Service, support is pathetic from their end. Next time no cred.",8 months ago, 1 star 
Bhavya Arora,Awesome features! Easy to use and manage financials.,7 months ago, 5 stars 
M Premkumar,I need to customer care number we need same validate Bank account number,6 months ago, 1 star 
Paramjeet Singh,"One of the best UI, one stop solutions to credit card bill payments.",7 months ago, 5 stars 
Abhishek Jaiswal,"Best app to manage your credit card.
#cred",7 months ago, 5 stars 
Sucheta Ray Chaudhuri,"CRED has made credit card's management & payment seamless

Love it!",7 months ago, 5 stars 
Ghanashyam hegde,"I've made a credit card payment of 10k towards my Citi card. But money got deducted twice from my HSBC account.
This kind of problem shouldn't be happening at this point of time.
Please have a customer care contact number provided.",10 months ago, 1 star 
Sales Tours i Go,"I have done the credit card payment its declined after 3 days and still no update, and i have not got the refund,",4 months ago, 1 star 
balaji reddycherla,"Great app, Using from almost one and half year, they offered good rewards during the start but now the rewards are not soo great .",10 months ago, 5 stars 
Paromita Das Mallik,Awesome app... very good UI..very useful,7 months ago, 5 stars 
Rahul jain,Worst customer service not even a single call after so many complaints money debited from account but not credited in credit card account and not yet reversed the amount in my account,9 months ago, 1 star 
Rohan Shah,Credit card wont be a head ache any more after this.,7 months ago, 5 stars 
prabir kumar nayak,Pathetic app.. No customer support for your orders and concerns.. Just they keep on sending default emails for ages. You never receive any response for orders placed through this app.,6 months ago, 1 star 
Sebastinarockia Akash,Wonderful place. Very nice team & culture.,7 months ago, 5 stars 
Aaditya Mahajan,"One word - Awesome
Why awesome?
Try CRED.",7 months ago, 5 stars 
Anshu Agrawal,really useful app to manage multiple credit cards at one place,7 months ago, 5 stars 
Aravind Raj,Great app to manage multiple credit cards and great deals.,7 months ago, 5 stars 
Neha Uniyal,"Most of the cred rewards are for men. Whether it is the rewards of personal care, clothing,etc. the focus has been kept as male audience. I was browsing for the rewards today in the grooming section and not a single feature for womenfolk.
Never seen such a unidirectional service by any organisation.",11 months ago, 1 star 
N R Phanikumar Samayam,Very good platform for managing credit cards...,5 months ago, 5 stars 
Venkata Krishnan S,Nice App that solves my challenges with multiple credit cards...,8 months ago, 5 stars 
prakash iyer,Simply the best credit card payment solution with amazing rewward construct.,8 months ago, 5 stars 
M Learn,"Awesome UI, must have app if you have multiple cards",7 months ago, 5 stars 
Aravindan Damodaran,My credit card payment has not been reflected. I have paid on 11Dec2020 . Now from Sbi they charged me extra. There is no customer care for this CRED app,4 months ago, 1 star 
Vishal Goyal,Worst experience for making payment for my American express card... Don't risk your data and money using Cred. .. it's not worth. Avoid otherwise you will regret..,9 months ago, 1 star 
ravi kumar,Most rewarding app for credit card bill payment.,7 months ago, 5 stars 
Deepak Shetty,"I have made a payment to my cc through Hdfc bank today morning  , money is debited but same has not been reflecting in cred and payment is still showing due .. loved this app all these while but definitely not a right time to get troubled …",a year ago, 1 star 
Pranjali Pate,"Super smooth app, clear functionality",7 months ago, 5 stars 
Suresh Kumar,Hi Guys..!! i would like to share very bad experience with CRED my brother he has made one through credit card and transfer to landlord on 25th of june but stile payment  has not credit in there account and one is very bad think which is …,10 months ago, 1 star 
Sameer Annageri,CRED did not credit the payment even after 2 days. Who is going to bear the late payment charges?,8 months ago, 1 star 
Sanjeev Singh,I made a payment to my Kotak Credit card on 31 September  2019 but till today (07 Jun 2019) money is not transferred to my credit card account. Keep on chatting with CRED people for last 5 days even visited their office but nothing is …,a year ago, 1 star 
Piyush Pant,"Awesome app rewards you everytime, very clean UI",7 months ago, 5 stars 
GANESH SAMARTH,Makes the process of credit card payment an enriching experience,7 months ago, 5 stars 
mahesh mahesh,"Very worrest app ... fraud app, amount not received to credit card",5 months ago, 1 star 
Libin Baby,Very good App. User friendly interface,7 months ago, 5 stars 
Nipun Agarwal,Really good product and work culture is amazing.,7 months ago, 5 stars 
Ayush Gupta,Flawless app for credit card bill payments.,7 months ago, 5 stars 
Vishakha Acharya,Extremely convenient to pay credit card bills.,7 months ago, 5 stars 
Saddam Basha,They shows wrong card details on my profile I paid 33800 but that was not mine card itseem they not at all responsible for that after that they achieved my card now not even showing translation history also my ticket everything is closed now how should I talk with your specialist,6 months ago, 1 star 
Paromita Das Mallik,Very useful app...easy to use and convenient,7 months ago, 5 stars 
School Parent,"I loved this app all along and became a voluntary brand ambassador.  Recent upgrade forced upon me, took the features for which I stayed on CRED.  CASHBACK is stopped.  DEBIT CARDS not allowed.  Looks like you are creating a real-life …",a year ago, 1 star 
Srinath Chennupati,CRED app oho.. love it. Amazing service. Not sure about negative review on payment failures. As of now my journey with cred from past 8 months is smooth. No payment is failures. Have taken many benefits from CRED. Crazy Cred it really pays …,a year ago, 5 stars 
kartik sahoo,"One of the most useless discovery of century , none of their coupon code is valid",4 months ago, 1 star 
Reddy Mahesh,worrest app... amount not received,5 months ago, 1 star 
lokesh srinivasa,"Good app all the transactions are happening smoothly, but I just wanted to know why the cashback is deposited in the credit card account but not the debit card.",a year ago, 5 stars 
Vikas Dagar,"I made a payment to my axis bank credit card on 11-Apr-2020 but till today (15-Apr-2020) money is not transferred to credit card account.keep on chatting with cred people for last 5 days but nothing is happening.
Worst app and service which …",a year ago, 1 star 
sibasish mohanty,lightling fast credit card settlement .,7 months ago, 5 stars 
saima hashmi,Love the ease of payments 😊,4 months ago, 5 stars 
Amit Sharma,"Great place to work
Excellent culture.",7 months ago, 5 stars 
king tiger,Money got deducted but NOT Paid to credit card bank. It is with CRED account but they are not able to reverse it ... Support email group doesnt have a clue...,10 months ago, 1 star 
Vaishnavi Murali,"Great experience, got some good rewards.",7 months ago, 5 stars 
siddhartha singh,I have been using cred now for 6 months now .So far it has been a breeze paying my credit card bills or keeping track of it . What more you also get rewards for doing so .,10 months ago, 4 stars 
Ronak Patel,So far so good. Payments are fast and gets deposited in 1 day. Rewards section are not very intuitive and might need improvement. But otherwise good experience.,a year ago, 5 stars 
my chennal,MONEY GOT DEDUACTED BUT IN THE HDFC CREDI CARD STATEMENT IS NOT REFLECTED.  PLZ GUIDE ME,8 months ago, 1 star 
devasena reddy,In Love with this app :),4 months ago, 5 stars 
SHINORAZE RB,Amazing app with a actual human thus social impact. Keep it up. You have not only helped me de-mystify my credit card usage and charges but also made me reward for my timely payments. I hope banks also realise this. 4starts for that. I will …,a year ago, 4 stars 
Utsav Chawla,Amazing place to work!,4 months ago, 5 stars 
Rakesh Gowda,Great UI and rewards. Recommend it to anyone looking for a better credit card experience,a year ago, 5 stars 
Deepak A C,This app urges you to spend more and in that sense is truly avoidable. It collects your credit card details and gives some offers on products for which you have to shell out more. Apart from getting notifications on credit card payment data …,a year ago, 1 star 
gowrisha m,"Really very bad response, am trying to contact trough mail from last 2 days but they are not supporting. One of my bill i paid through this app but it is not credited to my credit card account",a year ago, 1 star 
Sri Harsha,Great work space!,4 months ago, 5 stars 
Anand Kumar,The UX bench mark company. Porud that its from bengaluru.,7 months ago, 5 stars 
Radhakisan Raut,"Amount is deducted from my credit card,I dint get the any help to resolve the issue.",a year ago, 1 star 
Somasundar Pujari,"it is taking more than 5 days of credit money into credit card, it is showing reward money Rs** and finally it won't credit the reward money into credit card.",a year ago, 1 star 
prathap gowda,"I made a payment to my HDFC Credit card on 23rd December 2019 but till today (21 Jan 2020) money is not transferred to my credit card account. Keep on chatting with CRED people for last 5 days but problem not solved.

Kindly confirm u r customer care number",a year ago, 1 star 
Jhon Bruno,"Worst and fraud app. I had transaction 10k to SBI credit card  5 days  before due date it's more than 10days amount not received at SBI ,SBI charged interest and blocked card due to payment pendency. it's completely worst app no response no …",a year ago, 1 star 
Hemika Parmar,"I have clear a my dues on 26dec and according to cred app thr is no pending dues, but it's not reflecting on my hdfc bank account. Even I contact to cred app executive but they are not solving my problem, even I do have screen shot of …",a year ago, 1 star 
Deepak Sharma,"Have already replied to on your support team but still not received solution and my case is still pending and there is a delay from your support team to solve my issue, as they do not think of any urgency for the payment, i am getting near to my deadline to pay CC bill. I hope you will look into it and expedite my issue at the earliest",a year ago, 1 star 
Nilesh Thakkar,"They take your payment, but do not pay further, it's fraud... They don't have any proper cproper service",9 months ago, 1 star 
Rohit Naik,Its a great app to usee :),7 months ago, 5 stars 
Krishna Ramanathan,One of the best office location.,7 months ago, 5 stars 
Gunjit Agrawal,Awesome app with amazing  offers.,7 months ago, 5 stars 
Shubham Kumar,Nice place to work .,5 months ago, 5 stars 
Murali Mohan T,Good customer service. Loved the way they have handled my case. Thank you,a year ago, 5 stars 
Gujju Jalsa,"awesome UI, good feature, details description, smooth app",7 months ago, 5 stars 
Manjunath G A,"I have done payment for my two credit cards ,my account got debited  ,but the payment is not reflecting in my credit cards. These ppl don't provide phone numbers also. Thinking of filing a complaint with cyber cell police station. Pls revert asap",a year ago, 1 star 
arpit awasthi,I had a bill of a big amount which I paid it using Cred form a family member's account as I didn't had enough money. Now Money is deducted but  Cred says transaction failed and I will  get my money back in 5 days. By CC bill payment …,a year ago, 1 star 
Jayesh Kothiya,Thanks for review. I was about to download app. Reviews has saved my pease of life.,a year ago, 1 star 
koti rao,One of the worst application in the entire world. My 1 lak rupees are in fly now. No body is responding for my money from the CRED support team...  I paid excess amount to my Citibank credit card  and they have returned the money to CRED …,a year ago, 1 star 
Amitabh Kishore,An awesome recording app that pays you for paying your credit card bills.,a year ago, 5 stars 
Ayush Kumar,The best user experience in India,7 months ago, 5 stars 
RAJA MAKINEEDI,"I made a payment to my HDFC Credit card on 2nd Oct, 2019 but till today (16 Oct, 2019) money is not transferred to my credit card account. Keep on chatting with CRED people for last 3 days but nothing is happening. Even they don't have …",a year ago, 4 stars 
Sivakumar Ragunathan,"I made a payment to my ICIC Credit card on 31 May 2019 but till today (07 Jun 2019) money is not transferred to my credit card account. Keep on chatting with CRED people for last 5 days but nothing is happening.
worst app and service which I have seen so far.",a year ago, 1 star 
somesh khare,"I have been cheated of my 52000 rupees since last 3 months by CRED . The CRED offers an online rewards for users paying credit card bill. I registered my card on 3rd september and have done the following payments since :
31st Oct - 30000 …",a year ago, 1 star 
Selva SP,"Like the culture, Great place to work",7 months ago, 5 stars 
Pranab Das,"Such a nice UI, very easy for",7 months ago, 5 stars 
Samiran Kundu,Great app with superb UI,7 months ago, 5 stars 
Gayatri Mali,Have been using to pay credit card bills and rent.,7 months ago, 5 stars 
Jibu Mathew,"They don't care about their customers. I made a credit card payment of Rs 145,742 through their app around 3 days back and until now it hasn't been credited. The App says Payment Received but still Processing with Bank. I wrote to …",a year ago, 1 star 
Vijaysingh Thakur,My payment made on 6th march is still not reflecting in CC ...your mail support has not been helpful in sorting out the issue....totally frustrating,a year ago, 1 star 
SAURABH GUPTA,Great Place to work.,7 months ago, 5 stars 
Bijayakumar Mahanty,Every time I open the cred app it surprise me .,7 months ago, 5 stars 
Narottam Dash,Cred is a fraud organization . They are not responding properly to customer grievances.please don't trust them and send money through them,11 months ago, 1 star 
Anand Kumar,Takes off the credit card due date horror.,7 months ago, 5 stars 
Sarthak Jain,Very happy with the app.,7 months ago, 5 stars 
Yadhu Manoharan,Great place to work.,7 months ago, 5 stars 
Shanker Paudel,Not responding to my emails I have 28k paid for my credit card but not reflecting on bank statement,10 months ago, 1 star 
Irshad Basha,"I have made 50K payment using Cred app but no scratch card's has been received, no proper option to raise request to their customer service as well. Pathetic. 5 card's per month is the limit but I haven't received a single scratch card's. Very bad",a year ago, 1 star 
Bhimagouda Patil,amazing app 👌🏼,7 months ago, 5 stars 
Abhishek Kumar,Worst customer service ever,4 months ago, 1 star 
