name,review,date,rating
Rahul Pankhaniya,"Cmarix team is a  bunch of highly proffessional and ethical individuals.
They deliver exactly whats promised.
Highly recomend their services.",2 years ago, 5 stars 
Devshi Bambhaniya,"CMARIX is the best work place, not just the infrastructure but even the working environment encourages you to work and learn with utter dedication.",2 years ago, 5 stars 
Dhaval Solanki,"I enjoy working at place, where you are not bound to working hours instead quality work and result are the first priority.",2 years ago, 5 stars 
Nirav Patel,CMARIX is a good company to learn and adapt to new technologies. I am working with some really talented People and learn to explore a new technology which helps me to lift my career growth.,3 years ago, 5 stars 
Bhavya Nayak,"I worked at CMARIX couple of years back and it was a very good experience.

I would definitely recommend this company to anyone willing to take on challenge & work on complex projects which I think is definitely important to improve the skills as a programmer.",2 years ago, 5 stars 
Priyanka Varma,"Best place to work in open culture with friendly people.
I am working with CMARIX since very long time as a Digital Marketer and I found to be the best for my work because they giving you the opportunity for career growth and always motivate for learning new technology.",3 years ago, 5 stars 
Bhavin Antala,"Cmarix , an excellent IT solution provider! I just want to thank you for the exceptional website that you created for us. The work is great and customer service is outstanding.",3 years ago, 5 stars 
Chetan Vora,"I've an awesome experience working at CMARIX. Great learning experience. As a Frontend developer, I have learned so many new things here.",3 years ago, 5 stars 
Bhumika Darji,"Best place to work in Open Culture with Amazing People.
Excellent company that gives you the opportunity to grow your skills.",3 years ago, 5 stars 
Niks Triv,You will find every thing more than you imagine..awesome place to work..,2 years ago, 5 stars 
S Dev,"Good process of interview also handling
Straight forward",a year ago, 4 stars 
Atmansinh Rathod,Result Driven Company with focus on providing Great environment for employees and superior quality as well as work experience to customers.,2 years ago, 5 stars 
Nitesh Mori,Superb and nice work environment. Also people are very co operative.,2 years ago, 4 stars 
Piyush Chauhan,It’s great to be a part of CMARIX as you get to connect yourself with new technology and new trends each day. The Company is employee-centric and the management inspires each employee to bring something innovative to the table.,3 years ago, 5 stars 
Shashi Rupapara,"It's an amazing place to work. Friendly & Open office work environment, just loving it! Helpful nature of each team member.",3 years ago, 5 stars 
Abhijit Goswami,Great environment and working culture. Best place to work and grow up your capabilities and strength.,3 years ago, 5 stars 
Savan Mevcha,"It's an amazing place to work. Friendly & Open office work environment, and supportive nature of each team member.",3 years ago, 5 stars 
Kiran Dabhi,Nice place for work and learn to explore a new technology which help us for our career growth.,3 years ago, 5 stars 
Saumil Jariwala,Good company to work with. Excellent environment. Excellent projects with new technologies.,3 years ago, 5 stars 
Kapil Antala,Great place full of creative energy... Love the atmosphere. Highly recommended for the UI and UX designing,3 years ago, 5 stars 
Kumar Sahitya,Very good infrastructure. Excellent behaviour of employees.,2 years ago, 5 stars 
Arpan Sagar,Cmarix is the best place to enjoy the work!! I get to learned many new things since I have joined.Great to work in an environment.,3 years ago, 5 stars 
Mitch King,Worked with CMARIX. Met them personally in India. Fantastic Experience. Will work more.,6 years ago, 5 stars 
Nikunj Trivedi,Excellent company that gives you the opportunity to grow your skills .. amazing culture with amazing people.,3 years ago, 5 stars 
Sam Vaghela,CMARIX TechnoLabs is a great company where you can learn new things under best guidance with the help of top management and team members in a friendly and positive environment. You can raise your career graph up here.,3 years ago, 5 stars 
Vinay Palande,It was a nice experience with CMARIX. So creative team they have.,3 years ago, 5 stars 
Bharat Joshi,"Nice people nice environment to work , Excellent Management . . . growing together organization .",3 years ago, 5 stars 
Priyanka Verma,I feel great as a part of the CMARIX because of the healthy work environment and open culture.,3 years ago, 5 stars 
Sarah Ford,Great company with highly educated employees that are also very kind.,2 years ago, 5 stars 
Hitesh Akhani,Good team! Nice people,2 years ago, 5 stars 
Hiren Nariya,Great environment among the most creative companies in India !!,3 years ago, 5 stars 
Chirag Joshi,"Silky Shah Talent Acquisition Manager at CMARIX TechnoLabs doesn't know how to speak with developers, being very rude and disturbing by sending request.",3 years ago, 1 star 
puranjaysinh zala,Definitely top class!,2 years ago, 5 stars 
Hardik Sinh Zala,first hand recommendation,2 years ago, 5 stars 
Gulammustufa momin,It is an IT company.,2 years ago, 4 stars 
Adit Sheth,"Great infrastructure, nice place to work.",3 years ago, 5 stars 
adit sheth,Best office in Ahmedabad to work.,3 years ago, 5 stars 
Rutuparna Chavda,Developed mobile app with them.Excellent company,3 years ago, 5 stars 
Amit Kumar Verma,Nice experience with CMARIX....so nice to use it,3 years ago, 5 stars 
Krupa Thakkar,,3 years ago, 5 stars 
JB B,,2 months ago, 5 stars 
Savan Mevcha,,2 years ago, 5 stars 
Nikhil Shimpi,,a year ago, 5 stars 
kartik jagani,,4 months ago, 5 stars 
varsha manek,,2 years ago, 5 stars 
Akshay Tank,,3 years ago, 4 stars 
Urvi Verma,,3 years ago, 5 stars 
Akshay mistry,,a year ago, 5 stars 
Pari Bhuva,,a year ago, 4 stars 
Ketan Barad,,3 months ago, 5 stars 
RIDDHI AMIN,,3 years ago, 5 stars 
belieber harsh,,8 months ago, 5 stars 
Mohak Fadia,,2 years ago, 3 stars 
harsh shah,,2 years ago, 1 star 
Kishan Bodana,,a year ago, 5 stars 
Bezel Metal Industries,,3 years ago, 5 stars 
Manoj Maharana,,2 years ago, 4 stars 
Parvat Malivad,,7 months ago, 5 stars 
Ratnesh Sharma,,3 years ago, 1 star 
Abhishek Panchal,,4 months ago, 3 stars 
CHINMAY PATEL,,4 years ago, 5 stars 
Parvat Malivad,,6 months ago, 5 stars 
jigar halvadiya,,a year ago, 5 stars 
Rajesh Rathod,,a year ago, 4 stars 
Patel Yatin,,2 months ago, 5 stars 
Darshan Mistri,,3 months ago, 5 stars 
Shyam Jasani,,2 years ago, 5 stars 
devang gajjar,,a year ago, 5 stars 
Rajib Sharma,,3 months ago, 5 stars 
Nirav Patel,,3 months ago, 1 star 
H K,,3 years ago, 5 stars 
chavda anil,,2 years ago, 5 stars 
shah sahil,,3 years ago, 3 stars 
Kishan Devaliya,,2 years ago, 5 stars 
indiraben Vadilal,,a year ago, 5 stars 
sp parmar,,a year ago, 3 stars 
Ashwini Prajapati,,a year ago, 4 stars 
Namdev Siddhapura,,3 years ago, 5 stars 
Dipak Kaliya,,3 years ago, 5 stars 
vishal Lunagariya,,a year ago, 4 stars 
Deval Adit,,3 years ago, 5 stars 
Sanjay Chauhan,,3 years ago, 5 stars 
